Week,Date,,Sp21 Lecture Schedule,Fa22 Lecture Schedule,Fa22 Actual Lecture Schedule,Fa23 Lecture Schedule,TRAVEL and EVENTS,Disc (Mon),Project Released,Project Due,Multivitamin Released,Multivitamin Due,Notes
1,8/21,Mon,,,,,,,,,,,
,8/22,Tue,"Introduction, Data Engineering Lifecycle",,,,,,,,,,
,8/23,Wed,,,,,,,,,,,
,8/24,Thu,Relational Model & Algebra,"Introduction, Data Engineering Lifecycle","Introduction, Data Engineering Lifecycle","Introduction, Data Engineering Lifecycle",Pre-Semester Survey,,,,,,
,8/25,Fri,,,,,,,,,,,
,8/26,Sat,,,,,,,,,,,
,8/27,Sun,,,,,,,,,,,
2,8/28,Mon,,,,,,"01: Relational Algebra, SQL Review",,,,,
,8/29,Tue,SQL Intro,Relational Model & Algebra,Relational Model & Algebra,SQL Review,,,,,,,
,8/30,Wed,,,,,,,,,,,
,8/31,Thu,Views,SQL Intro,SQL Intro,Relational Model & Algebra,,,,,,,
,9/1,Fri,,,,,Drop Deadline,,,,,,
,9/2,Sat,,,,,,,,,,,
,9/3,Sun,,,,,,,,,,,
3,9/4,Mon,,,,LABOR DAY,,NO DISCUSSION,,,,,
,9/5,Tue,"Subqueries, Aggregation",Views,"Subqueries, Aggregation","Subqueries, Aggregation",,,,,,,
,9/6,Wed,,,,,,,,,,,
,9/7,Thu,"Window functions, Sampling, String manipulation","Subqueries, Aggregation","Window functions, Sampling, String manipulation","Window functions, Sampling, String manipulation",,,,,,,
,9/8,Fri,,,,,,,Project 1: SQL,,,,
,9/9,Sat,,,,,,,,,,,
,9/10,Sun,,,,,,,,,,,
4,9/11,Mon,,,,,,01: Views,,,,,
,9/12,Tue,"Updates, DDL, Referential Integrity, Constriants","Window functions, Sampling, String manipulation","Updates, DDL, Referential Integrity, Constraints","DML, DDL, Referential Integrity, Constraints",,,,,,,
,9/13,Wed,,,,,Drop Deadline (w/ fee),,,,,,
,9/14,Thu,"Foreign Keys, Index Selection","Updates, DDL, Referential Integrity, Constriants",NO LECTURE,"Foreign Keys, Index Selection",,,,,,,
,9/15,Fri,,,,,,,,,Multivitamin 1 Release,,
,9/16,Sat,,,,,,,,,,,
,9/17,Sun,,,,,,,,,,,
5,9/18,Mon,,,,,,"02: Window, DDL",,,,,
,9/19,Tue,"Index selection, Query processing, Optimization I","Index selection, Query processing, Optimization I","Foreign Keys, Index Selection","Index selection, Query processing, Optimization I",,,,,,,
,9/20,Wed,, , ,,,,,,,,
,9/21,Thu,"Index selection, Query processing, Optimization II","Index selection, Query processing, Optimization II","Index selection, Query processing, Optimization I","Index selection, Query processing, Optimization II",,,,,,,
,9/22,Fri,,,,,,,Project 2: Query Performance,Project 1: SQL Due,,,
,9/23,Sat,,,,,,,,,,,
